ticker,asset_class,window,forgetting_factor,ls_sharpe,hit_rate,rmse
SPY,US Equity,100,0.95,-0.1839569112676242,0.5154579601271309,0.010885149985154238
TIP,Fixed Income,100,0.95,0.12997183770402648,0.5061295971978984,0.003704199745563835
TLT,Fixed Income,100,0.95,0.30661944966888327,0.49942163100057835,0.009725977578890849
USO,Commodity,100,0.95,-0.03235125743922044,0.4972423802612482,0.02289883086362541
VNQ,Real Estate,100,0.95,-0.00413100417153308,0.5075231481481481,0.012898384804834443
XLE,US Equity,100,0.95,0.15382591362884337,0.5120046282904253,0.017727079004328957
XLF,US Equity,100,0.95,-0.1518883877551561,0.49517966695880805,0.013983478244761106
XLK,US Equity,100,0.95,-0.04954060653494695,0.5181527737438281,0.013770665465816114
XLP,US Equity,100,0.95,0.002249456786595057,0.4983932223196027,0.008859169716163845
XLU,US Equity,100,0.95,-0.17084689652355234,0.5074106364428945,0.011381197455057751
XLV,US Equity,100,0.95,-0.48543170386359685,0.49491722335172816,0.010378668581207052
DBC,Commodity,100,0.98,0.13224253908060962,0.5136804942630185,0.01080454550744483
DIA,US Equity,100,0.98,-0.09298587086380782,0.5196418255343732,0.010529834524396263
EEM,Intl Equity,100,0.98,-0.09911568243297525,0.5065349985477781,0.013450490991960069
EFA,Intl Equity,100,0.98,-0.09576344880153354,0.5126123514062046,0.011427133975556504
EWJ,Intl Equity,100,0.98,-0.29853681214303723,0.5051395007342144,0.011159945632408333
FXI,Intl Equity,100,0.98,-0.1961896337651519,0.490418118466899,0.017372854163632125
GLD,Commodity,100,0.98,0.2578359308824037,0.5150289017341041,0.009777664501793489
